asset_id,cohort_start_date,entry_month,vehicle_class,monthly_km,engine_hours_per_month,load_factor,temperature_exposure,prior_repairs,service_delay_days,route_severity,preventive_maintenance_score,duration_months,event
VH-00062,2023-11-22,23,Medium,3320.2,92.4,0.7485,0.1244,0,7.7,0.5541,0.8049,46.2275,1
VH-00063,2022-12-27,12,Medium,5810.6,122.0,0.1669,0.3068,0,22.4,0.8316,0.4503,21.731,0
VH-00064,2023-11-22,23,Heavy,4410.7,114.4,0.8145,0.2556,0,4.8,0.4418,0.4629,34.0411,1
VH-00065,2022-05-31,5,Medium,6094.0,137.2,0.6478,0.3811,0,5.2,0.1724,0.7924,52.6763,0
VH-00066,2022-09-28,9,Medium,4207.4,74.9,0.7785,0.5305,0,2.6,0.7327,0.5913,11.9064,1
VH-00067,2022-01-01,0,Medium,4463.7,91.7,0.5732,0.501,0,0.1,0.7204,0.7387,37.3411,0
VH-00068,2023-05-26,17,Medium,3655.8,96.6,0.5454,0.3817,1,14.9,0.7651,0.5398,41.6175,1
VH-00069,2023-01-26,13,Light,4489.4,96.6,0.7915,0.5489,1,12.9,0.4468,0.8343,33.3491,0
VH-00070,2022-11-27,11,Medium,5568.3,114.4,0.9106,0.4412,0,3.1,0.1278,0.761,19.4806,1
VH-00071,2023-09-23,21,Light,3883.0,76.9,0.5714,0.3242,1,7.3,0.4613,0.5626,43.3947,0
VH-00072,2022-08-29,8,Medium,5277.6,126.9,0.9413,0.1917,0,6.4,0.3965,0.6559,23.6049,0
VH-00073,2023-07-25,19,Heavy,3280.9,99.2,0.9558,0.5193,2,4.1,0.6104,0.6788,8.0458,1
VH-00074,2022-10-28,10,Light,5638.6,93.2,0.6822,0.477,2,3.0,0.2569,0.635,47.8914,1
VH-00075,2022-08-29,8,Light,3630.1,122.7,0.6586,0.4439,2,1.0,0.6068,0.9607,10.5929,1
VH-00076,2022-06-30,6,Medium,5777.5,131.4,0.8107,0.545,0,4.5,0.554,0.7982,46.0404,1
VH-00077,2022-09-28,9,Medium,4591.5,110.7,0.4071,0.2757,2,2.9,0.5382,0.7866,58.5653,0
VH-00078,2022-10-28,10,Medium,6781.4,144.2,0.7781,0.7328,1,3.9,0.4589,0.7053,34.954,0
VH-00079,2023-07-25,19,Medium,2768.9,61.5,0.7391,0.8788,1,7.4,0.5094,0.9575,52.5617,0
VH-00080,2022-12-27,12,Heavy,2285.7,53.7,0.9696,0.2301,0,4.3,0.2849,0.9579,25.4477,0
VH-00081,2022-07-30,7,Medium,3575.7,63.7,0.877,0.6071,1,9.0,0.1637,0.8467,47.5799,1
VH-00082,2023-11-22,23,Medium,2423.1,41.8,0.7358,0.4399,1,3.4,0.4271,0.5509,51.3494,0
VH-00083,2022-01-01,0,Heavy,2425.9,71.7,0.5176,0.4914,1,6.4,0.9146,0.6412,20.9455,0
VH-00084,2023-01-26,13,Light,5432.3,97.4,0.7245,0.4107,1,0.8,0.7069,0.7769,25.3257,1
VH-00085,2023-02-25,14,Light,4493.7,106.5,0.5992,0.3174,1,4.0,0.2173,0.5624,38.6572,0
VH-00086,2022-04-01,3,Light,3780.5,78.5,0.7185,0.5699,0,6.4,0.8478,0.7903,19.0178,1
VH-00087,2023-01-26,13,Heavy,3919.6,72.7,0.476,0.5628,0,4.8,0.3822,0.6968,40.8521,0
VH-00088,2022-01-31,1,Medium,3604.1,109.7,0.8216,0.4242,0,6.2,0.9517,0.8793,22.5013,0
VH-00089,2023-08-24,20,Light,6975.6,140.7,0.8003,0.4978,0,1.1,0.3385,0.668,16.0132,1
VH-00090,2023-01-26,13,Medium,3396.7,58.5,0.9215,0.2828,1,2.4,0.7439,0.7466,30.3296,1
VH-00091,2022-09-28,9,Light,2516.8,53.1,0.9336,0.3322,1,4.1,0.8279,0.7491,33.498,0
VH-00092,2022-01-31,1,Medium,5694.1,115.0,0.6433,0.3316,0,3.7,0.4297,0.7275,42.7467,0
VH-00093,2023-09-23,21,Medium,4176.4,92.9,0.5017,0.5485,0,7.7,0.3768,0.9037,63.8041,0
VH-00094,2023-04-26,16,Medium,7558.2,170.3,0.7033,0.6969,1,1.0,0.8613,0.7943,10.0184,1
VH-00095,2022-04-01,3,Medium,3710.7,86.0,0.7877,0.4371,1,17.8,0.3707,0.5623,69.808,0
VH-00096,2022-01-31,1,Medium,5769.0,126.3,0.3706,0.2721,0,3.5,0.3107,0.7173,24.3295,0
VH-00097,2022-06-30,6,Medium,6123.3,125.5,0.5267,0.4971,1,12.6,0.313,0.5779,10.5115,1
VH-00098,2023-09-23,21,Light,3718.0,92.3,0.3689,0.3405,3,1.5,0.6957,0.4773,63.2271,0
VH-00099,2022-01-31,1,Light,3385.6,73.6,0.6691,0.7483,2,6.2,0.6584,0.646,54.1681,1
VH-00100,2023-03-27,15,Heavy,5612.0,117.3,0.7948,0.3377,0,13.2,0.1811,0.9188,32.0008,0
VH-00101,2022-03-02,2,Heavy,5362.3,141.4,0.8417,0.5353,0,6.8,0.3489,0.7886,49.6221,0
VH-00102,2023-01-26,13,Medium,2384.1,51.2,0.8646,0.4796,0,4.7,0.8411,0.7668,46.4452,0
VH-00103,2022-05-31,5,Medium,2807.3,78.8,0.7727,0.6731,1,3.2,0.6868,0.6517,38.6235,1
VH-00104,2023-11-22,23,Heavy,800.0,36.2,0.7777,0.8489,0,0.4,0.465,0.6476,26.2368,0
VH-00105,2022-11-27,11,Heavy,5393.1,139.2,0.8671,0.2593,1,9.0,0.1234,0.8274,57.765,0
VH-00106,2022-05-01,4,Heavy,4107.3,101.6,0.3386,0.6031,1,2.8,0.5366,0.6237,42.1071,0
VH-00107,2022-01-31,1,Medium,4256.8,94.6,0.4176,0.5322,1,7.3,0.8895,0.7539,66.3087,1
VH-00108,2023-10-23,22,Medium,1962.8,42.7,0.8285,0.5327,1,10.7,0.5199,0.5147,25.2161,1
VH-00109,2023-11-22,23,Light,2852.8,59.7,0.651,0.686,3,5.8,0.8002,0.6117,24.7058,0
VH-00110,2022-01-31,1,Heavy,3783.1,51.6,0.4503,0.7645,0,5.1,0.6036,0.9579,62.5874,0
VH-00111,2022-01-01,0,Medium,3491.5,88.4,0.4967,0.231,3,8.2,0.5254,0.7048,49.5715,0
VH-00112,2022-01-31,1,Light,4676.8,107.6,0.8572,0.2139,1,10.9,0.4301,0.5487,40.9026,1
VH-00113,2022-08-29,8,Medium,5375.2,131.8,0.8118,0.7404,1,2.2,0.1839,0.6818,21.992,0
VH-00114,2022-06-30,6,Medium,7904.4,173.9,0.8855,0.4366,0,4.7,0.5334,0.6922,11.2255,1
VH-00115,2022-03-02,2,Light,4470.0,109.3,0.8463,0.6139,3,6.4,0.3766,0.7828,42.5322,0
VH-00116,2023-09-23,21,Heavy,6173.1,116.5,0.6022,0.2465,0,6.6,0.4604,0.6439,49.329,0
VH-00117,2022-03-02,2,Heavy,3255.0,54.8,0.6178,0.6704,1,5.2,0.3219,0.6357,55.2689,0
VH-00118,2022-05-01,4,Heavy,1987.6,20.0,0.6246,0.3423,1,7.2,0.4944,0.8784,55.195,0
VH-00119,2022-04-01,3,Medium,3971.5,86.2,0.8147,0.4725,1,14.4,0.6728,0.5204,31.0103,1
VH-00120,2022-11-27,11,Medium,2103.4,35.2,0.1944,0.6112,0,5.9,0.7468,0.9163,67.6619,0
VH-00121,2023-06-25,18,Medium,4522.0,86.9,0.8065,0.2137,0,1.1,0.2521,0.965,67.6433,0
VH-00122,2023-06-25,18,Medium,3329.3,79.0,0.8827,0.3289,1,0.8,0.5377,0.7248,37.9944,0
VH-00123,2023-10-23,22,Light,1568.6,28.5,0.8736,0.1243,0,2.5,0.5306,0.6521,42.2772,0
VH-00124,2023-01-26,13,Medium,7104.0,136.4,0.6692,0.4133,0,5.3,0.8657,0.8601,25.6928,0
VH-00125,2022-05-31,5,Light,3693.7,120.3,0.5026,0.2792,0,10.1,0.7548,0.5899,49.8228,0
VH-00126,2023-04-26,16,Medium,2043.6,44.9,0.9496,0.2445,0,3.7,0.5192,0.8671,53.8136,0
VH-00127,2023-07-25,19,Medium,5847.3,113.7,0.9141,0.3402,1,9.3,0.4148,0.547,40.3156,0
VH-00128,2022-07-30,7,Light,3407.1,65.7,0.6977,0.35,0,8.7,0.8407,0.8675,34.7729,0
VH-00129,2023-04-26,16,Light,6135.2,133.7,0.7299,0.518,1,2.3,0.6624,0.8874,4.1899,1
VH-00130,2023-05-26,17,Medium,3399.9,72.9,0.8143,0.1388,1,2.3,0.2296,0.6894,48.3477,0
VH-00131,2022-03-02,2,Light,3688.7,101.5,0.7688,0.8849,0,0.3,0.6895,0.4675,30.0412,1
VH-00132,2023-10-23,22,Heavy,5017.2,110.3,0.854,0.7153,0,9.8,0.3624,0.9534,29.8393,1
VH-00133,2023-07-25,19,Medium,5389.8,147.6,0.5189,0.4597,1,3.0,0.4706,0.7592,27.9686,1
VH-00134,2022-09-28,9,Medium,5652.7,119.1,0.6707,0.14,2,3.3,0.2618,0.8806,39.5089,0
VH-00135,2023-05-26,17,Medium,4365.4,103.4,0.6407,0.3302,0,5.9,0.4057,0.906,27.7996,0
VH-00136,2022-08-29,8,Light,5292.9,133.0,0.4867,0.7607,0,0.7,0.6408,0.7995,18.1355,0
VH-00137,2023-08-24,20,Heavy,5618.4,142.8,0.8548,0.6768,0,3.2,0.4953,0.4318,15.2584,1
VH-00138,2023-01-26,13,Medium,4800.9,126.4,0.6842,0.8059,0,3.2,0.9462,0.9544,20.4805,0
VH-00139,2022-08-29,8,Heavy,4286.0,91.2,0.7042,0.2746,1,0.7,0.3332,0.9017,32.7406,0
VH-00140,2022-05-31,5,Light,2332.1,51.7,0.5197,0.305,0,5.4,0.5512,0.8595,61.7054,0
VH-00141,2023-03-27,15,Medium,5398.8,82.8,0.7272,0.1415,0,11.7,0.6014,0.7367,47.5982,0
VH-00142,2022-10-28,10,Medium,4563.3,98.5,0.802,0.3198,0,2.9,0.3367,0.7588,50.584,0
VH-00143,2022-07-30,7,Heavy,3879.6,102.6,0.9583,0.5941,1,8.5,0.5477,0.8798,43.1711,0
VH-00144,2022-12-27,12,Medium,6416.6,156.0,0.8969,0.7848,0,2.8,0.6329,0.4479,11.3581,1
VH-00145,2023-03-27,15,Medium,2358.2,51.1,0.6104,0.2844,2,3.6,0.6247,0.9022,29.3078,0
VH-00146,2023-08-24,20,Medium,6966.1,180.3,0.5515,0.422,0,10.8,0.4701,0.7939,38.7545,1
VH-00147,2022-01-01,0,Medium,4466.6,93.5,0.7375,0.2889,0,2.0,0.3286,0.4086,35.048,0
VH-00148,2022-12-27,12,Medium,4976.3,99.8,0.5962,0.4275,1,4.0,0.3879,0.7206,28.9525,0
VH-00149,2023-08-24,20,Medium,3907.4,79.8,0.7163,0.3707,0,13.2,0.554,0.779,59.2156,0
VH-00150,2022-09-28,9,Light,1999.4,27.6,0.6697,0.0744,3,2.7,0.4917,0.927,21.3559,0
VH-00151,2022-07-30,7,Heavy,4290.6,104.7,0.6706,0.578,0,8.4,0.3016,0.5725,56.3057,0
VH-00152,2022-05-01,4,Heavy,5002.1,115.5,0.6903,0.2413,3,8.9,0.3925,0.8513,20.0607,0
VH-00153,2022-10-28,10,Light,5514.3,131.7,0.7481,0.6187,1,7.4,0.6235,0.9128,61.9308,1
VH-00154,2022-01-01,0,Medium,4203.0,87.2,0.7299,0.6134,0,6.3,0.2077,0.3539,54.8647,1
VH-00155,2022-10-28,10,Light,1211.2,26.0,0.6364,0.2084,1,8.9,0.5538,0.9465,40.2723,0
VH-00156,2023-03-27,15,Medium,2187.5,20.0,0.8446,0.7366,0,0.7,0.2826,0.7286,19.6984,1
VH-00157,2022-01-31,1,Medium,7578.0,174.0,0.8371,0.5998,2,11.9,0.748,0.8389,23.6151,1
VH-00158,2022-01-01,0,Medium,2861.2,65.1,0.86,0.8106,0,5.4,0.491,0.7236,49.1407,1
VH-00159,2022-08-29,8,Heavy,6640.6,131.1,0.6362,0.3153,0,5.7,0.6185,0.9127,29.4045,0
VH-00160,2023-04-26,16,Heavy,3098.9,67.3,0.7932,0.0861,1,4.6,0.7675,0.6279,6.9933,1
VH-00161,2022-05-31,5,Light,4226.3,90.1,0.8335,0.5917,1,1.2,0.6424,0.6559,55.8886,0
VH-00162,2023-04-26,16,Heavy,5437.8,147.3,0.6252,0.596,0,13.7,0.8643,0.6656,6.3409,1
VH-00163,2022-04-01,3,Light,3269.7,56.7,0.5715,0.6023,0,1.0,0.6089,0.955,44.6255,0
VH-00164,2022-05-01,4,Light,6888.3,158.0,0.6673,0.7373,1,3.1,0.2288,0.5621,22.5746,1
VH-00165,2023-01-26,13,Medium,4613.6,86.2,0.8991,0.1914,0,11.9,0.4628,0.659,26.5573,1
VH-00166,2023-02-25,14,Medium,5191.3,107.0,0.8576,0.238,1,9.2,0.7043,0.6182,25.3724,1
VH-00167,2023-06-25,18,Heavy,4098.6,95.2,0.9668,0.1035,1,2.5,0.5213,0.879,48.8408,0
VH-00168,2023-09-23,21,Heavy,5488.1,118.8,0.713,0.1443,0,1.3,0.1733,0.5979,52.293,0
VH-00169,2022-12-27,12,Medium,6868.2,152.5,0.9387,0.2003,0,4.3,0.6142,0.7646,42.5172,1
VH-00170,2022-09-28,9,Heavy,4303.1,100.6,0.9147,0.4039,0,1.4,0.8453,0.918,26.0554,0
VH-00171,2023-09-23,21,Medium,7094.6,150.3,0.8412,0.2814,0,0.7,0.7432,0.7651,32.4852,0
VH-00172,2023-08-24,20,Medium,3582.6,92.9,0.5951,0.4214,0,7.2,0.5564,0.4034,36.1337,0
VH-00173,2023-05-26,17,Medium,5646.1,120.9,0.6975,0.2685,1,22.9,0.5021,0.9072,45.7638,0
VH-00174,2022-06-30,6,Heavy,5233.7,114.8,0.4838,0.6492,1,2.1,0.4629,0.7451,26.3745,0
VH-00175,2022-04-01,3,Light,2897.1,69.8,0.9562,0.7388,1,11.0,0.4881,0.8156,21.4286,0
VH-00176,2023-08-24,20,Light,4820.7,110.5,0.4124,0.2545,1,7.0,0.4964,0.9433,33.6663,0
VH-00177,2022-11-27,11,Medium,4511.0,109.9,0.7462,0.3328,0,6.0,0.8502,0.6207,43.4111,1
VH-00178,2023-11-22,23,Heavy,3220.2,76.3,0.5164,0.6457,0,5.4,0.8099,0.4586,6.6716,1
VH-00179,2023-05-26,17,Heavy,5037.0,119.0,0.7232,0.1679,0,0.4,0.2671,0.8105,39.3487,0
VH-00180,2022-07-30,7,Heavy,4719.4,100.0,0.6956,0.4101,0,5.8,0.626,0.7232,23.658,0
VH-00181,2023-11-22,23,Heavy,4391.1,81.5,0.7036,0.2621,1,3.2,0.6897,0.5007,61.5807,1
VH-00182,2022-01-01,0,Heavy,4397.1,76.3,0.9699,0.1973,3,2.4,0.9312,0.4993,15.832,1
VH-00183,2023-01-26,13,Medium,4365.0,71.9,0.7136,0.2932,0,14.2,0.6865,0.3841,46.7052,0
VH-00184,2023-10-23,22,Medium,3948.5,114.2,0.3483,0.2901,2,7.2,0.3141,0.7726,35.7719,0
VH-00185,2023-10-23,22,Heavy,4709.8,71.5,0.4873,0.6222,0,1.9,0.6015,0.9035,61.5752,1
VH-00186,2023-10-23,22,Medium,3534.1,96.4,0.6852,0.2866,0,6.4,0.3324,0.4243,34.2501,0
VH-00187,2023-07-25,19,Medium,8485.2,176.2,0.6978,0.4409,1,3.8,0.1784,0.8267,66.4402,0
VH-00188,2023-07-25,19,Light,2386.0,70.8,0.5031,0.5783,0,2.5,0.6825,0.5157,40.158,1
VH-00189,2023-11-22,23,Heavy,3622.9,47.5,0.6456,0.5526,1,2.8,0.4483,0.7747,29.5284,0
VH-00190,2022-07-30,7,Medium,3741.4,79.6,0.8741,0.1959,0,7.0,0.6187,0.5814,43.5948,0
VH-00191,2023-02-25,14,Heavy,7560.7,189.8,0.6818,0.3219,1,11.4,0.6838,0.7458,21.9506,0
VH-00192,2023-11-22,23,Light,2519.8,66.7,0.8074,0.4058,3,4.2,0.5601,0.678,26.8488,1
VH-00193,2022-03-02,2,Light,5138.9,109.1,0.5946,0.7795,0,7.8,0.4961,0.7354,28.6141,0
VH-00194,2023-10-23,22,Heavy,4872.6,79.1,0.5957,0.4552,0,5.0,0.8729,0.5781,34.5507,0
VH-00195,2022-05-31,5,Light,5000.4,91.3,0.581,0.1279,2,3.0,0.5849,0.6213,27.7155,0
VH-00196,2023-11-22,23,Light,6354.5,162.0,0.8892,0.1505,0,1.7,0.7905,0.8296,20.4497,0
VH-00197,2023-08-24,20,Medium,6323.7,135.3,0.7305,0.436,0,3.3,0.2794,0.5953,41.446,0
VH-00198,2022-05-01,4,Heavy,3823.6,83.9,0.9184,0.5621,0,3.6,0.5268,0.7812,26.6251,1
VH-00199,2022-05-01,4,Light,4791.0,110.7,0.7412,0.4666,0,0.9,0.8624,0.6955,17.9456,1
VH-00200,2022-08-29,8,Medium,1703.8,20.0,0.4172,0.4374,0,11.0,0.4646,0.8261,52.8933,0
VH-00201,2022-05-01,4,Heavy,4648.6,109.4,0.7197,0.349,1,11.2,0.551,0.8391,19.7025,0
VH-00202,2023-04-26,16,Heavy,3309.0,67.2,0.477,0.2336,0,5.6,0.3737,0.7969,47.7707,0
VH-00203,2023-06-25,18,Medium,4220.4,98.2,0.8117,0.4318,0,13.0,0.5717,0.8199,61.1105,0
VH-00204,2022-08-29,8,Light,1971.9,35.2,0.6845,0.5722,1,2.0,0.6559,0.4961,10.7014,1
VH-00205,2022-06-30,6,Light,5107.3,89.9,0.7808,0.3646,0,1.5,0.522,0.4062,24.0744,1
VH-00206,2023-02-25,14,Light,1955.1,37.0,0.7448,0.2936,0,7.3,0.5733,0.6408,27.0364,0
VH-00207,2023-08-24,20,Light,4722.4,114.6,0.8366,0.7023,1,2.7,0.5372,0.7478,23.0579,1
VH-00208,2022-03-02,2,Medium,2660.2,65.0,0.5929,0.1434,2,15.4,0.4716,0.7517,71.465,0
VH-00209,2022-11-27,11,Light,3225.5,72.1,0.4132,0.6489,0,4.9,0.301,0.8152,50.8332,0
VH-00210,2022-04-01,3,Medium,6232.1,152.0,0.8277,0.2261,1,9.8,0.4114,0.756,42.5279,1
VH-00211,2023-02-25,14,Medium,5381.9,116.5,0.8537,0.3665,0,2.7,0.3752,0.7897,37.3206,1
VH-00212,2023-10-23,22,Medium,6223.8,139.2,0.5793,0.3567,2,2.7,0.4876,0.8583,19.7181,0
VH-00213,2022-08-29,8,Light,6839.6,144.8,0.8103,0.2963,0,8.1,0.3178,0.5753,25.708,0
VH-00214,2022-10-28,10,Heavy,3340.7,88.6,0.9357,0.169,0,3.6,0.8505,0.9581,69.6141,0
VH-00215,2022-05-31,5,Heavy,6748.5,154.3,0.4999,0.2372,0,4.0,0.3438,0.9433,42.0397,0
VH-00216,2022-01-01,0,Heavy,2301.7,42.8,0.81,0.1641,0,2.2,0.7515,0.4837,44.7594,0
VH-00217,2022-07-30,7,Light,5619.2,102.5,0.9179,0.5842,1,8.6,0.8273,0.7166,9.6948,1
VH-00218,2022-05-01,4,Light,3760.0,100.1,0.7052,0.0957,0,7.8,0.5399,0.6607,27.7626,0
VH-00219,2023-07-25,19,Heavy,3104.5,57.8,0.8418,0.177,2,2.5,0.6965,0.6536,43.3959,0
VH-00220,2023-04-26,16,Medium,5421.7,121.6,0.5526,0.3007,2,3.3,0.8382,0.8743,31.896,0
VH-00221,2023-11-22,23,Medium,5917.4,166.8,0.9671,0.6125,1,3.4,0.4054,0.7224,31.6792,1
VH-00222,2022-11-27,11,Medium,5872.9,142.5,0.2055,0.8416,0,2.9,0.5181,0.8046,59.0088,1
VH-00223,2023-09-23,21,Medium,4822.3,131.3,0.7334,0.5016,2,7.1,0.6065,0.8988,45.1828,1
VH-00224,2022-04-01,3,Heavy,4697.9,96.3,0.7061,0.4077,1,6.2,0.5031,0.9758,37.8992,1
VH-00225,2023-09-23,21,Medium,5290.3,133.6,0.5044,0.2064,2,2.5,0.824,0.5932,68.8113,0
VH-00226,2023-07-25,19,Heavy,4955.6,110.5,0.7751,0.5174,1,15.5,0.8209,0.9296,18.9697,1
VH-00227,2023-03-27,15,Light,5312.0,123.5,0.6779,0.4012,1,6.2,0.4594,0.7976,39.4644,0
